gengxin,id,title,zuozhe
10-17,002297,"博云新材:第四届监事会第二十次会议决议公告
","
一部法国电影
"
10-17,002297,"博云新材:独立董事关于使用部分暂时闲置募集资金补充流动资金的独立意见
","
懒洋洋tian
"
10-17,002297,"我之前赚的钱全部亏在这个垃圾股里面草
","
法国俘虏
"
10-17,002297,"发现:
","
结束的太晚
"
10-17,002297,"2297即将拉升!
","
诸葛伯言
"
10-16,002297,"搞得怪吓人的请继续
","
星尘粉末
"
10-16,002297,"博云新材高铁刹车片耗材
","
没洗脖子
"
10-15,002297,"在等待增发并购伟微新材批复并实施前,大股东及行动一致人二股东、高管是不可能减持股
","
Angel双翼
"
10-15,002297,"博云新材当下情况最↑新详丶解
","
两项大奖
"
10-14,002297,"目前持仓5800股,希望3年涨到90元!
","
fifatxy
"
10-14,002297,"回光返照,强弩之末。
","
急先锋2011
"
10-14,002297,"迎着减持潮,杀进30万股,等着30元发大财!
","
燕燕爱葱
"
10-14,002297,"买了多少个交易日了,连菜钱都没赚到
","
不会逢迎
"
10-13,002297,"神奇博云:空中加油,暴涨就在下周!
","
青春的快意
"
10-13,002297,"博云有大想法,将会有大动作,立贴为证
","
简单的争执
"
10-13,002297,"14.8元,仙人指路还是双峰高耸,就看拉登能否借尸还魂了
","
愤懑憋屈
"
10-13,002297,"博云新材355.8万股限售股14日起上市
","
nowitzki327
"
10-13,002297,"此股目前不涨的原因:
","
东篱剑客
"
10-13,002297,"002297:步步登高,论博云新材的时间价值
","
不重播
"
10-12,002297,"机构主力秘密被泄露漆吣
","
pistaclio
"
09-12,002297,"尾盘吸筹不少!!一波行情即将来袭,预测今天涨幅3%
","
十年壹剑
"
09-12,002297,"准备拉升
","
柠檬小滴
"
09-12,002297,"请大家不要在股吧里乱说话
","
水上伊人
"
09-12,002297,"上午分别买入方大碳素,东凌粮油各一万股!今博云新材不是有个网络见面会嘛,如果二点
","
mjh989
"
09-12,002297,"才弄明白博云就是黄伯云啊,2004年感动中国十年一剑,填补国内空白那个
","
总务职务
"
09-12,002297,"002297:中报巨亏,赶紧走人!
","
郎迷兽
"
09-12,002297,"博云新材股东减持1125万股套现1.41亿
","
文迪好
"
09-12,002297,"002297:中报盈利230万,转型获得初步成就!
","
金金相析no
"
09-12,002297,"博云新材:云雨过后,就是连续涨停!
","
互相帮忙
"
09-12,002297,"怎么这么垃圾,一下子跌这么多。。坑爹啊
","
康复路
"
09-12,002297,"空军发布招飞宣传片:歼10、歼11配合击落“敌机”
","
百万或是梦
"
09-12,002297,"还好有人接盘,相信你
","
昨日云端
"
09-12,002297,"妈个c
","
隐藏在背后
"
09-12,002297,"博云新材:今天又两条利好消息,快看!
","
I要减F
"
09-12,002297,"习大大中国梦,习大大最伟大调研员
","
镇守湘江
"
09-12,002297,"博云新材:C919即将首飞,垄断+盈利反转造特种牛股!
","
大智无定指
"
09-12,002297,"一字涨停6.29亿元,用于收购并购伟徽新材100%股权项目以及补充流动资金。
","
小高杨
"
09-12,002297,"早晚要飞天
","
wuweiyiqie
"
09-12,002297,"12.84就那么难站稳吗?
","
喷P民爱骨头
"
09-12,002297,"002297:汽车刹车系统的亚太股份16元,搞飞机的博云股价该多少元
","
导路人99
"
09-12,002297,"终于卖了,挣了4个点,耽误行情了。
","
天使们的轨迹
"
09-12,002297,"叫空叫得最嚣张的就是些空仓者
","
辽K00000
"
09-12,002297,"002297:重大利好,霍尼韦尔博云正式生产
","
哈里无可取代
"
09-12,002297,"大股东都才开始跑,调整短期不会结束,什么时间跌停再买进不迟
","
蓝樱梦雪
"
09-12,002297,"大飞机千亿规模产业链已形成带动制造业转型升级
","
解放年代
"
09-12,002297,"可以满仓了
","
walkerlast
"
09-12,002297,"明天是节前最后一天,牛市惯例要大跌的
","
小高杨
"
09-12,002297,"庄真好.刚卖了100股
","
飞越迷雾6409
"
09-11,002297,"大家割吧,不可能大涨的。
","
慧当凌绝丁
"
09-10,002297,"终于解套了,再也不碰这烂股了。
","
小三伞
"
09-10,002297,"国信证券昨晚11.00挂单6000股,合同号01,为什么现在还没有成交?","
燃天烬地
"
09-06,002297,"高管们的文凭正宗吗?怎么把这个企业管理成这个熊样。出个半年报还要更改。
","
黑瓦黄墙
"
09-06,002297,"又不是热门股吧,人也不多,做什么广告啊。
","
谈判桌上
"
09-05,002297,"博云新材:联合投票,罢免不称职的董秘!
","
巴巴雅罗
"
09-05,002297,"行,有种,,继续下行
","
花已开好
"
09-05,002297,"博云新材,你麻麻喊你回家吃饭,肚子饿了吗,不要老是游荡,该回家了
","
六个角度
"
09-05,002297,"昨天13.14收盘就是《值得一生一世持有的好股》的意思
","
今个是晴天
"
